Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Afghanistan,1378,1377.94,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Albania,760,759.88,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Algeria,745,745,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Andorra,344,343.7,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Angola,1722,1722.07,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Antigua and Barbuda,613,613.42,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Argentina,601,600.98,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Armenia,896,895.98,,,
Age-standardized death rates (per 100 000 population),Published,2011,Western Pacific,Australia,355,355.26,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Austria,392,391.87,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Azerbaijan,774,773.96,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Bahamas,600,600.23,,,
Age-standardized death rates (per 100 000 population),Published,2011,Eastern Mediterranean,Bahrain,483,483.01,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Bangladesh,880,880.3,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Barbados,504,503.77,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Belarus,840,840.26,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Belgium,418,418.01,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Belize,671,670.63,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Benin,1421,1420.5,,,
Age-standardized death rates (per 100 000 population),Published,2011,South-East Asia,Bhutan,943,943.29,,,
Age-standardized death rates (per 100 000 population),Published,2011,Americas,Bolivia (Plurinational State of),962,962.17,,,
Age-standardized death rates (per 100 000 population),Published,2011,Europe,Bosnia and Herzegovina,643,643.34,,,
Age-standardized death rates (per 100 000 population),Published,2011,Africa,Botswana,1124,1123.51,,,
