Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Nursing and midwifery personnel density (per 1000 population),Published,2002,Western Pacific,Tonga,3.398,3.398,,,
Other health workers density (per 1000 population),Published,2009,Africa,Guinea-Bissau,0.856,0.856,,,
Other health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Iraq,0.79,0.79,,,
Other health workers density (per 1000 population),Published,2006,Eastern Mediterranean,Sudan,0.5872,0.5872,,,
Dentistry personnel density density (per 1000 population),Published,1999,Americas,El Salvador,0.485,0.485,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,1999,Eastern Mediterranean,Pakistan,0.0381,0.0381,,,
Physicians density (per 1000 population),Published,2006,Western Pacific,Australia,2.703,2.703,,,
Physicians density (per 1000 population),Published,1997,South-East Asia,Sri Lanka,0.311,0.311,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Africa,Gambia,0.036,0.036,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Western Pacific,Palau,5.71,5.71,,,
Community and traditional health workers density (per 1000 population),Published,2001,Western Pacific,Australia,0.2,0.2,,,
Physicians density (per 1000 population),Published,2004,Americas,Cuba,6.15,6.15,,,
Dentistry personnel density density (per 1000 population),Published,1991,Americas,Ecuador,0.16,0.16,,,Includes only dentists
Physicians density (per 1000 population),Published,2006,Africa,Nigeria,0.369,0.369,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,United Arab Emirates,0.448,0.448,,,Includes only dentists
Physicians density (per 1000 population),Published,1998,Eastern Mediterranean,Oman,0.853,0.853,,,
Dentistry personnel density density (per 1000 population),Published,1998,Western Pacific,Japan,0.6962,0.6962,,,
Dentistry personnel density density (per 1000 population),Published,1991,Eastern Mediterranean,Tunisia,0.097,0.097,,,Includes only dentists
Environmental and public health workers density (per 1000 population),Published,2004,South-East Asia,Timor-Leste,0.03,0.03,,,
Environmental and public health workers density (per 1000 population),Published,2001,Americas,Grenada,0.19,0.19,,,
Other health workers density (per 1000 population),Published,2001,Americas,Barbados,0.489,0.489,,,
Other health workers density (per 1000 population),Published,2007,Eastern Mediterranean,Oman,2.046,2.046,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Uganda,0.24,0.24,,,
Physicians density (per 1000 population),Published,2009,Eastern Mediterranean,Kuwait,1.793,1.793,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Eastern Mediterranean,Jordan,0.86,0.86,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2004,Africa,Gambia,0.475,0.475,,,"<b>Nursing and midwifery personnel: </b>Includes public sector only.</br><b> Country: </b>Gambia</br><b>Year: </b>2004</br><b>Value:</b>0.475</br><b> Data Source:</b> HRH Unit, Ministry of Health"
Laboratory health workers density (per 1000 population),Published,2004,Africa,Central African Republic,0.01,0.01,,,
Physicians density (per 1000 population),Published,2001,Europe,Turkey,1.296,1.296,,,
Laboratory health workers density (per 1000 population),Published,2009,Africa,Zimbabwe,0.039,0.039,,,
